timestamp,cpu_percent,ram_percent,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb,gpu_temp_c,gpu_power_w
2025-09-23 00:09:32,9.5,65.9,95.0,10909.5,16303.0,56.0,274.8
2025-09-23 00:09:33,7.7,65.9,97.0,10909.5,16303.0,56.0,271.3
2025-09-23 00:09:34,5.1,65.9,96.0,10914.7,16303.0,57.0,272.6
2025-09-23 00:09:35,6.5,65.9,3.0,10891.8,16303.0,47.0,83.8
2025-09-23 00:09:36,7.5,65.9,1.0,10891.5,16303.0,46.0,65.8
2025-09-23 00:09:37,6.4,65.9,95.0,10890.9,16303.0,57.0,257.2
2025-09-23 00:09:38,3.7,65.8,97.0,10890.9,16303.0,48.0,210.9
2025-09-23 00:09:39,2.5,65.8,0.0,10890.9,16303.0,47.0,70.5
2025-09-23 00:09:40,5.6,65.9,2.0,10890.9,16303.0,55.0,129.1
2025-09-23 00:09:41,6.1,65.9,97.0,10890.9,16303.0,56.0,278.1
2025-09-23 00:09:42,6.6,65.9,0.0,10905.1,16303.0,47.0,113.6
2025-09-23 00:09:43,5.1,65.9,4.0,10911.6,16303.0,47.0,70.5
2025-09-23 00:09:44,8.6,65.9,48.0,10915.9,16303.0,56.0,208.5
2025-09-23 00:09:45,11.0,65.9,97.0,10928.9,16303.0,49.0,252.2
2025-09-23 00:09:46,7.3,65.9,0.0,10922.8,16303.0,47.0,70.4
2025-09-23 00:09:47,4.7,65.9,4.0,10918.1,16303.0,54.0,90.4
2025-09-23 00:09:48,5.8,65.9,97.0,10918.1,16303.0,56.0,281.6
